STATE,FIRE_YEAR,CAUSE,fire_count,total_acres
AK,1992,Human,380,53230.7
AK,1992,Natural,98,89486.0
AK,1992,Undetermined,2,0.6
AK,1993,Human,583,2333.0
AK,1993,Natural,276,684858.1
AK,1994,Human,428,5545.9
AK,1994,Natural,208,256398.6
AK,1994,Undetermined,3,20.2
AK,1995,Human,350,5752.599999999999
AK,1995,Natural,63,38208.9
AK,1995,Undetermined,1,0.1
AK,1996,Human,576,170782.5
AK,1996,Natural,142,428014.7
AK,1997,Human,479,17319.2
AK,1997,Natural,240,2008823.3
AK,1997,Undetermined,1,2.0
AK,1998,Human,360,1412.0
AK,1998,Natural,48,119370.1
AK,1999,Human,324,24209.399999999998
AK,1999,Natural,157,981225.5
AK,1999,Undetermined,1,408.79999
AK,2000,Human,280,15460.5
AK,2000,Natural,83,740918.6
AK,2000,Undetermined,1,0.1
AK,2001,Human,330,209459.2
AK,2001,Natural,29,10465.3
AK,2002,Human,367,420544.7
AK,2002,Natural,170,1766101.3
AK,2003,Human,396,22239.81
AK,2003,Natural,80,579423.7
AK,2003,Undetermined,2,10.5
AK,2004,Human,373,19180.5
AK,2004,Natural,274,6572470.70019
AK,2004,Undetermined,47,217.4
AK,2005,Human,293,12736.75
AK,2005,Natural,325,4623161.402
AK,2005,Undetermined,1,0.5
AK,2006,Human,226,121106.0
AK,2006,Natural,54,133396.9
AK,2006,Undetermined,21,10.9
AK,2007,Human,217,92377.0
AK,2007,Natural,263,541897.4
AK,2007,Undetermined,33,191.7
AK,2008,Human,264,1819.4
AK,2008,Natural,103,90627.9
AK,2008,Undetermined,2,30.3
AK,2009,Human,318,56707.87
AK,2009,Natural,195,2892886.1
AK,2010,Human,355,106508.17
AK,2010,Natural,335,1031024.4
AK,2011,Human,374,25236.899999999998
AK,2011,Natural,134,267767.2
AK,2012,Human,263,33827.299999999996
AK,2012,Natural,146,266759.7
AK,2013,Human,379,161474.19999999998
AK,2013,Natural,212,1159285.0
AK,2013,Undetermined,1,0.1
AK,2014,Human,338,26341.579999999998
AK,2014,Natural,53,10536.8
AK,2014,Undetermined,2,196722.90000000002
AK,2015,Human,348,101830.97
AK,2015,Natural,422,5036867.69
AK,2015,Undetermined,1,5.0
AK,2016,Human,347,10527.15
AK,2016,Natural,229,490545.60000000003
AK,2017,Human,207,6886.8
AK,2017,Natural,153,647086.4
AK,2018,Human,204,29002.55
AK,2018,Natural,137,382014.5
AK,2018,Undetermined,18,17.900000000000002
AK,2019,Human,120,53649.310000000005
AK,2019,Natural,291,2375092.8
AK,2019,Undetermined,310,243069.1
AK,2020,Human,173,301.5
AK,2020,Natural,169,180985.7
AK,2020,Undetermined,7,22.2
AL,1992,Human,90,1033.2
AL,1992,Natural,2,45.0
AL,1992,Undetermined,1,175.0
AL,1993,Human,122,2095.6
AL,1993,Natural,9,187.2
AL,1993,Undetermined,6,54.0
AL,1994,Human,3420,34134.4
AL,1994,Natural,14,398.7
AL,1994,Undetermined,18,131.3
AL,1995,Human,4149,37766.3
AL,1995,Natural,64,823.8
AL,1995,Undetermined,17,306.5
AL,1996,Human,3997,44862.9
AL,1996,Natural,37,1616.8
AL,1996,Undetermined,14,1203.5
AL,1997,Human,2572,21865.7
AL,1997,Natural,10,78.7
AL,1997,Undetermined,9,111.0
AL,1998,Human,3504,34891.6
AL,1998,Natural,50,404.7
AL,1998,Undetermined,12,264.3
AL,1999,Human,4432,51662.4
AL,1999,Natural,63,862.5
AL,1999,Undetermined,6,23.3
AL,2000,Human,6000,81497.6
AL,2000,Natural,266,12569.8
AL,2001,Human,3274,37812.5
AL,2001,Natural,35,1282.6
AL,2002,Human,2858,37066.6
AL,2002,Natural,66,1396.9
AL,2002,Undetermined,2,232.5
AL,2003,Human,1815,20636.37
AL,2003,Natural,2,7.1
AL,2003,Undetermined,2,10.0
AL,2004,Human,3036,46587.64
AL,2004,Natural,10,155.4
AL,2004,Undetermined,6,110.0
AL,2005,Human,2534,43096.62
AL,2005,Natural,10,75.85
AL,2005,Undetermined,3,35.5
AL,2006,Human,3772,71497.02
AL,2006,Natural,160,7296.3
AL,2006,Undetermined,15,755.8
AL,2007,Human,3640,51215.32
AL,2007,Natural,192,5569.57
AL,2007,Undetermined,1,0.3
AL,2008,Human,1965,22332.93
AL,2008,Natural,40,913.16
AL,2008,Undetermined,1,1.0
AL,2009,Human,1343,24064.14
AL,2009,Natural,18,787.8
AL,2009,Undetermined,9,23.8
AL,2010,Human,2876,41543.32
AL,2010,Natural,36,534.65
AL,2010,Undetermined,1,0.5
AL,2011,Human,1935,49056.07
AL,2011,Natural,107,5041.110000000001
AL,2012,Human,1682,25431.26
AL,2012,Natural,62,3720.2
AL,2012,Undetermined,3,5.0
AL,2013,Human,1653,29572.78
AL,2013,Natural,16,361.63
AL,2013,Undetermined,1,1.0
AL,2014,Human,2390,37023.455
AL,2014,Natural,26,879.95
AL,2014,Undetermined,2,58.1
AL,2015,Human,2045,25964.61
AL,2015,Natural,27,2848.1
AL,2015,Undetermined,2,2021.0
AL,2016,Human,3738,56822.75
AL,2016,Natural,36,284.47
AL,2016,Undetermined,1,0.7
AL,2017,Human,1228,19570.46
AL,2017,Natural,12,659.2
AL,2017,Undetermined,1,406.0
AL,2018,Human,900,11449.54
AL,2018,Natural,8,188.75
AL,2018,Undetermined,1,0.5
AL,2019,Human,1528,24502.14
AL,2019,Natural,39,2359.25
AL,2019,Undetermined,2,2338.0
AL,2020,Human,761,11271.130000000001
AL,2020,Natural,12,52.65
AL,2020,Undetermined,9,490.6
AR,1992,Human,120,1411.7
AR,1992,Natural,8,66.8
AR,1993,Human,143,1681.1
AR,1993,Natural,6,57.1
AR,1993,Undetermined,2,22.0
AR,1994,Human,155,2241.7
AR,1994,Natural,12,62.2
AR,1995,Human,227,4974.1
AR,1995,Natural,13,216.3
AR,1996,Human,200,5109.5
AR,1996,Natural,24,177.3
AR,1997,Human,1001,11059.9
AR,1997,Natural,38,299.5
AR,1997,Undetermined,1,83.0
AR,1998,Human,1056,11421.4
AR,1998,Natural,100,1601.7
AR,1999,Human,2104,23064.8
AR,1999,Natural,120,967.5
AR,2000,Human,2178,26201.5
AR,2000,Natural,185,2851.0
AR,2001,Human,1161,13417.3
AR,2001,Natural,86,910.9
AR,2001,Undetermined,461,2668.9
AR,2002,Human,959,13114.7
AR,2002,Natural,33,448.3
AR,2002,Undetermined,482,2207.8
AR,2003,Human,1616,25478.72
AR,2003,Natural,47,505.45
AR,2003,Undetermined,1,2.0
AR,2004,Human,1352,22745.37
AR,2004,Natural,11,898.1
AR,2004,Undetermined,1,3.0
AR,2005,Human,2155,36023.99
AR,2005,Natural,139,4393.2
AR,2005,Undetermined,2,16.0
AR,2006,Human,2351,46207.4
AR,2006,Natural,219,21692.41
AR,2006,Undetermined,1,40.0
AR,2007,Human,1248,21298.420000000002
AR,2007,Natural,51,4380.9
AR,2007,Undetermined,1,5.0
AR,2008,Human,811,9963.68
AR,2008,Natural,69,1233.25
AR,2008,Undetermined,3,2.5
AR,2009,Human,1056,17488.04
AR,2009,Natural,20,287.7
AR,2010,Human,2115,32621.91
AR,2010,Natural,100,1975.1
AR,2010,Undetermined,5,157.7
AR,2011,Human,2167,38029.06
AR,2011,Natural,379,9870.63
AR,2012,Human,1949,29128.83
AR,2012,Natural,399,9637.66
AR,2012,Undetermined,3,82.0
AR,2013,Human,74,2710.49
AR,2013,Natural,11,497.2
AR,2013,Undetermined,762,10091.0
AR,2014,Human,1276,19265.31
AR,2014,Natural,18,776.3
AR,2014,Undetermined,1,1000.0
AR,2015,Human,1259,18697.71
AR,2015,Natural,23,181.7
AR,2015,Undetermined,8,55.0
AR,2016,Human,1349,29353.56
AR,2016,Natural,35,1296.7
AR,2016,Undetermined,2,644.5
AR,2017,Human,80,6251.88
AR,2017,Natural,5,114.9
AR,2017,Undetermined,1573,31178.7
AR,2018,Human,56,3201.42
AR,2018,Natural,10,1307.92
AR,2018,Undetermined,990,18577.1
AR,2019,Human,46,348.92
AR,2019,Natural,3,17.200000000000003
AR,2019,Undetermined,574,7472.0
AR,2020,Human,54,1486.51
AR,2020,Natural,2,0.2
AR,2020,Undetermined,590,10562.49
AZ,1992,Human,2304,34330.35
AZ,1992,Natural,1185,8091.1
AZ,1992,Undetermined,5,172.2
AZ,1993,Human,3451,103505.87
AZ,1993,Natural,1025,86522.34999999999
AZ,1993,Undetermined,160,15538.15
AZ,1994,Human,2306,39107.21
AZ,1994,Natural,2052,176481.5
AZ,1994,Undetermined,161,8611.025
AZ,1995,Human,2876,80238.93
AZ,1995,Natural,1425,169882.4
AZ,1995,Undetermined,200,12031.25
AZ,1996,Human,1661,88201.755
AZ,1996,Natural,1995,98443.81
AZ,1996,Undetermined,105,755.0
AZ,1997,Human,1057,4470.6
AZ,1997,Natural,1186,7864.9
AZ,1997,Undetermined,7,1021.4
AZ,1998,Human,1836,14541.4
AZ,1998,Natural,842,12830.9
AZ,1998,Undetermined,1,6.5
AZ,1999,Human,1659,20406.45
AZ,1999,Natural,1075,53391.45
AZ,1999,Undetermined,2,1.1
AZ,2000,Human,1504,48031.700000000004
AZ,2000,Natural,2349,44798.3
AZ,2000,Undetermined,6,80.3
AZ,2001,Human,1736,8537.74
AZ,2001,Natural,1448,27256.0
AZ,2001,Undetermined,2,23.0
AZ,2002,Human,1695,595481.04
AZ,2002,Natural,1217,33826.8
AZ,2002,Undetermined,5,431.50000000000006
AZ,2003,Human,1230,109771.74
AZ,2003,Natural,1681,90226.48
AZ,2003,Undetermined,4,12.5
AZ,2004,Human,1358,44692.11
AZ,2004,Natural,1543,185052.32
AZ,2004,Undetermined,5,3.4000000000000004
AZ,2005,Human,2415,228270.01999
AZ,2005,Natural,1257,666857.92
AZ,2005,Undetermined,17,7719.15
AZ,2006,Human,1421,34540.32
AZ,2006,Natural,1872,146943.81
AZ,2006,Undetermined,22,17.25
AZ,2007,Human,1276,23390.85
AZ,2007,Natural,1153,91731.43000000001
AZ,2007,Undetermined,13,62.050000000000004
AZ,2008,Human,1085,39694.23
AZ,2008,Natural,702,73211.15
AZ,2008,Undetermined,111,1010.0
AZ,2009,Human,1398,82690.7
AZ,2009,Natural,935,139261.48
AZ,2009,Undetermined,119,132.57999999999998
AZ,2010,Human,1025,36024.04
AZ,2010,Natural,590,51627.79
AZ,2010,Undetermined,1446,148.37
AZ,2011,Human,922,925948.29
AZ,2011,Natural,866,111459.84
AZ,2011,Undetermined,1771,679.7
AZ,2012,Human,993,104179.39
AZ,2012,Natural,778,124654.41
AZ,2012,Undetermined,1435,188.22
AZ,2013,Human,970,30507.179999999997
AZ,2013,Natural,696,71345.31
AZ,2013,Undetermined,1417,1556.42
AZ,2014,Human,1058,42079.144
AZ,2014,Natural,535,160632.62
AZ,2014,Undetermined,1234,462.9
AZ,2015,Human,644,7005.12
AZ,2015,Natural,618,146075.99
AZ,2015,Undetermined,2557,2733.16
AZ,2016,Human,921,66403.12
AZ,2016,Natural,706,231649.4
AZ,2016,Undetermined,160,7263.2
AZ,2017,Human,1172,106398.20999999999
AZ,2017,Natural,544,295839.93
AZ,2017,Undetermined,2465,35650.664
AZ,2018,Human,8859,81974.477
AZ,2018,Natural,854,84743.91
AZ,2018,Undetermined,25,156.6
AZ,2019,Human,1495,167597.81
AZ,2019,Natural,693,195114.33
AZ,2019,Undetermined,3622,10851.781
AZ,2020,Human,5206,264862.113
AZ,2020,Natural,455,617928.68
AZ,2020,Undetermined,69,88411.86
CA,1992,Human,8122,267194.6
CA,1992,Natural,2696,26749.5
CA,1992,Undetermined,13,2495.5
CA,1993,Human,7544,291741.0
CA,1993,Natural,704,29723.0
CA,1993,Undetermined,20,30.9
CA,1994,Human,7130,262941.9
CA,1994,Natural,1501,143987.0
CA,1994,Undetermined,18,36.5
CA,1995,Human,6819,200789.8
CA,1995,Natural,549,15107.5
CA,1995,Undetermined,13,171.4
CA,1996,Human,7744,586138.4
CA,1996,Natural,1413,120921.5
CA,1996,Undetermined,13,49.0
CA,1997,Human,6819,308101.10000000003
CA,1997,Natural,1099,16448.0
CA,1997,Undetermined,10,16.6
CA,1998,Human,5807,139313.1
CA,1998,Natural,1042,20675.3
CA,1998,Undetermined,12,20.099999999999998
CA,1999,Human,7226,377879.4
CA,1999,Natural,1605,425208.8
CA,1999,Undetermined,78,1035.0
CA,2000,Human,5986,242789.9
CA,2000,Natural,888,11431.3
CA,2000,Undetermined,96,10449.6
CA,2001,Human,6563,185426.9
CA,2001,Natural,1484,150958.7
CA,2001,Undetermined,116,13754.9
CA,2002,Human,6361,461371.3
CA,2002,Natural,647,32327.399999999998
CA,2002,Undetermined,110,22161.3
CA,2003,Human,5848,724271.17
CA,2003,Natural,1943,176497.08000000002
CA,2003,Undetermined,103,132575.0
CA,2004,Human,6200,262115.67
CA,2004,Natural,1084,21181.1
CA,2004,Undetermined,123,17588.5
CA,2005,Human,7811,151403.53
CA,2005,Natural,733,100178.43
CA,2005,Undetermined,1675,12379.8
CA,2006,Human,8712,492569.57
CA,2006,Natural,1417,320492.35
CA,2006,Undetermined,1909,6043.9
CA,2007,Human,10680,940156.6
CA,2007,Natural,877,74588.61
CA,2007,Undetermined,1871,46809.090000000004
CA,2008,Human,7943,362048.65
CA,2008,Natural,1104,1052269.98
CA,2008,Undetermined,1547,19651.91
CA,2009,Human,6454,389481.13999999996
CA,2009,Natural,969,53567.76
CA,2009,Undetermined,2439,22170.09
CA,2010,Human,5600,84442.96
CA,2010,Natural,635,34103.21
CA,2010,Undetermined,2069,9359.05
CA,2011,Human,5565,87970.53
CA,2011,Natural,589,85844.70999999999
CA,2011,Undetermined,2406,18462.68
CA,2012,Human,4702,217121.75
CA,2012,Natural,686,536727.0
CA,2012,Undetermined,1810,10910.58
CA,2013,Human,5144,514455.792
CA,2013,Natural,1188,42974.0
CA,2013,Undetermined,2390,23980.48
CA,2014,Human,4078,230056.37
CA,2014,Natural,945,282660.18
CA,2014,Undetermined,1470,35112.02
CA,2015,Human,4214,214939.61
CA,2015,Natural,1566,463386.19
CA,2015,Undetermined,1575,170111.94
CA,2016,Human,4814,514338.63
CA,2016,Natural,300,23460.0
CA,2016,Undetermined,2768,37064.33
CA,2017,Human,5529,833067.68
CA,2017,Natural,1136,410741.15
CA,2017,Undetermined,2872,116351.17
CA,2018,Human,5363,1425842.1099999999
CA,2018,Natural,394,157026.6
CA,2018,Undetermined,3731,52888.89
CA,2019,Human,3515,145760.71
CA,2019,Natural,457,52685.85
CA,2019,Undetermined,2482,96174.41
CA,2020,Human,4880,646284.23
CA,2020,Natural,639,2385883.16
CA,2020,Undetermined,4679,1221247.5
CO,1992,Human,415,3669.8
CO,1992,Natural,786,2755.0
CO,1992,Undetermined,120,1026.6
CO,1993,Human,545,31649.7
CO,1993,Natural,564,3398.1
CO,1993,Undetermined,135,507.5
CO,1994,Human,689,9627.2
CO,1994,Natural,1592,60100.3
CO,1994,Undetermined,234,1033.1
CO,1995,Human,610,10490.7
CO,1995,Natural,715,7080.5
CO,1995,Undetermined,192,2472.5
CO,1996,Human,279,24605.9
CO,1996,Natural,1121,45434.0
CO,1996,Undetermined,5,0.6000000000000001
CO,1997,Human,183,748.2
CO,1997,Natural,539,5290.0
CO,1998,Human,250,4198.5
CO,1998,Natural,515,4180.7
CO,1999,Human,236,6338.5
CO,1999,Natural,520,13975.4
CO,2000,Human,229,51499.3
CO,2000,Natural,1382,80277.8
CO,2000,Undetermined,7,7.0
CO,2001,Human,183,7911.2
CO,2001,Natural,1080,16308.6
CO,2001,Undetermined,4,1.9000000000000001
CO,2002,Human,222,263301.0
CO,2002,Natural,995,209414.95
CO,2002,Undetermined,5,6407.8
CO,2003,Human,240,11722.2
CO,2003,Natural,1378,19040.1
CO,2003,Undetermined,803,14847.61
CO,2004,Human,152,9535.17
CO,2004,Natural,901,22623.26
CO,2004,Undetermined,257,1636.85
CO,2005,Human,244,2875.96
CO,2005,Natural,746,26302.420000000002
CO,2005,Undetermined,885,10235.16
CO,2006,Human,209,13014.51
CO,2006,Natural,1101,29431.85
CO,2006,Undetermined,6,3447.4
CO,2007,Human,173,3455.2599999999998
CO,2007,Natural,889,10565.09
CO,2007,Undetermined,8,5.7
CO,2008,Human,313,22860.22
CO,2008,Natural,622,88587.26
CO,2008,Undetermined,80,576.15
CO,2009,Human,204,9385.01
CO,2009,Natural,747,25330.95
CO,2009,Undetermined,1,3008.0
CO,2010,Human,1988,25995.29
CO,2010,Natural,676,25582.37
CO,2010,Undetermined,30,317.4
CO,2011,Human,287,28452.98
CO,2011,Natural,665,77049.39
CO,2011,Undetermined,6280,59383.975
CO,2012,Human,346,80605.86
CO,2012,Natural,758,142159.53
CO,2012,Undetermined,2,48498.0
CO,2013,Human,2883,26952.550000000003
CO,2013,Natural,1009,135177.48
CO,2013,Undetermined,2,0.2
CO,2014,Human,2641,21018.16
CO,2014,Natural,560,2492.95
CO,2014,Undetermined,1,2500.0
CO,2015,Human,2611,21667.605
CO,2015,Natural,473,4454.5
CO,2015,Undetermined,4,1212.4
CO,2016,Human,3882,91162.42
CO,2016,Natural,744,35621.8
CO,2016,Undetermined,2,1873.0
CO,2017,Human,5050,81777.55
CO,2017,Natural,641,46308.06
