LATITUDE,LONGITUDE,FIRE_YEAR,CAUSE,FIRE_SIZE,STATE,DAYS_TO_CONTAIN
48.1103,-105.1781,2012,Human,0.2,MT,0.0
45.4333,-97.317,1996,Human,24.0,SD,0.0
44.52,-84.64,2006,Human,0.2,MI,0.0
29.95731001,-97.78351001,2007,Human,12.0,TX,
32.82243,-80.235916,2017,Human,30.0,SC,0.0
39.0918,-108.4966,2015,Human,0.01,CO,0.0
39.36436,-96.85961,2018,Human,0.1,KS,0.0
42.045207,-77.141767,2001,Human,1.0,NY,
35.0509,-86.509817,2011,Human,2.0,TN,0.0
40.24851,-99.90246,2012,Human,0.3,NE,0.0
30.12167001,-81.97333997,2004,Human,0.2,FL,0.0
32.2529,-84.0964,2001,Human,16.0,GA,0.0
28.72,-81.98,1999,Human,10.0,FL,
28.14,-81.9,1999,Human,0.1,FL,
36.94345,-121.788717,2013,Human,0.1,CA,0.0
37.06395278,-80.34387222,2011,Human,12.0,VA,
33.610011,-114.666339,2002,Natural,0.1,CA,0.0
40.82587439,-73.93720706,2011,Human,0.1,NY,0.0
45.269,-122.31036,2019,Human,0.01,OR,0.0
45.5867,-107.7938,2017,Human,0.1,MT,
36.29,-94.8583,2005,Human,20.0,OK,0.0
35.70229,-78.00304,2007,Undetermined,5.0,NC,
31.98534678,-88.92271132,1999,Human,3.0,MS,0.0
32.11604138,-81.32333038,2004,Human,1.01,GA,
44.5379,-103.969,2011,Natural,0.25,SD,
44.88916,-107.17919,2014,Human,1.0,WY,0.0
33.9,-109.48333333,1992,Human,0.1,AZ,0.0
37.60278831,-81.20079571,2006,Human,1.0,WV,
43.3575,-110.75027778,2009,Natural,0.02,WY,1.0
35.00008333,-80.09363333,2013,Human,0.3,NC,0.0
33.878,-87.422,2017,Human,3.0,AL,0.0
31.06923,-97.78791,2017,Human,0.01,TX,
30.80184,-93.73734,2008,Human,2.0,TX,
29.36440815,-98.69453499,2009,Human,2.0,TX,
48.734018,-94.619666,1994,Human,6.0,MN,
32.9212838,-89.69449846,1992,Human,285.0,MS,0.0
18.482319,-67.018661,2003,Undetermined,0.5,PR,
35.88514,-109.1694,2008,Human,1.5,AZ,0.0
43.71666667,-70.76666667,1998,Undetermined,0.1,ME,0.0
42.61666667,-100.5,1994,Natural,3.0,NE,0.0
30.9495,-81.7396,1994,Human,0.39,GA,0.0
34.16,-109.575,1996,Natural,3.0,AZ,0.0
38.885,-82.24667,2008,Human,1.0,OH,
30.55909655,-88.680405,1999,Human,5.0,MS,0.0
34.02416667,-94.61733335,2011,Human,0.5,OK,0.0
34.90174,-80.5759,2007,Undetermined,0.1,NC,
33.2842,-110.502,2001,Human,0.2,AZ,0.0
35.61497,-94.61275,2014,Human,35.0,OK,0.0
41.450404,-110.313208,2018,Human,1.0,WY,1.0
34.1383,-83.5381,1998,Human,0.1,GA,
46.564677,-92.629074,1996,Human,2.0,MN,
28.2586,-82.6208,2017,Human,2275.0,FL,11.0
33.222662,-87.0258379,2011,Human,2.0,AL,0.0
39.425,-119.90833333,1995,Natural,0.2,NV,0.0
64.97103,-148.0446,1997,Natural,0.1,AK,
35.845,-88.35,1999,Human,1.0,TN,
39.3625,-121.645,2018,Human,0.77,CA,0.0
35.0335,-84.33417,2009,Human,0.1,TN,0.0
37.76,-100.02,2015,Human,0.25,KS,0.0
33.56194444,-116.70888888,1993,Human,3.0,CA,
29.110859,-99.913916,2009,Human,3.0,TX,
34.48525556,-84.38072222,2019,Human,0.1,GA,0.0
41.84251926,-113.60277976,2007,Natural,0.1,UT,0.0
32.26576595,-97.98752454,2009,Human,50.0,TX,
43.13310536,-108.4155543,2007,Human,0.5,WY,0.0
38.299205,-122.457755,2020,Human,0.1,CA,
33.0019,-79.845,2002,Human,1.0,SC,
44.68914851,-75.4765036,2006,Human,1.5,NY,0.0
28.316,-96.4667,2001,Natural,2344.0,TX,0.0
42.08491126,-79.37639203,2009,Human,0.7,NY,0.0
40.71529602,-73.27984847,2007,Human,0.1,NY,0.0
40.6499,-115.9842,1992,Natural,13202.0,NV,4.0
34.8103,-86.815,2000,Human,20.0,AL,
47.941,-111.743,2017,Human,1.0,MT,
31.57331694,-94.58300194,2010,Human,1.0,TX,
40.598,-122.5427,2017,Human,0.1,CA,0.0
35.62205,-82.97105,2009,Human,0.3,NC,0.0
42.9118,-76.7982,2015,Human,2.75,NY,0.0
34.12166667,-94.70333333,2009,Human,1.0,OK,0.0
41.2275,-74.4855,2014,Human,0.25,NJ,2.0
36.72611111,-119.29388888,1994,Human,1.0,CA,
34.7833,-78.2667,2002,Human,1.0,NC,
36.98888888,-120.64388888,1993,Human,0.1,CA,
34.14778001,-92.69165999,2005,Human,15.0,AR,
38.23814,-104.552199,2011,Undetermined,0.1,CO,
38.677493,-121.78388,2011,Undetermined,0.01,CA,
34.82388889,-83.57694444,2001,Human,2.5,GA,0.0
32.6358,-93.3142,1999,Human,2.0,LA,
47.35638889,-120.62055556,2015,Human,0.82,WA,
34.86541999,-95.66292999,2005,Human,6.0,OK,0.0
45.436892,-93.809241,1992,Human,3.0,MN,
46.70833333,-119.69166667,2004,Human,0.1,WA,0.0
32.07571143,-110.9433155,2018,Human,0.1,AZ,0.0
40.14937,-102.962418,2011,Undetermined,5.0,CO,
40.0875,-74.11667,1997,Human,0.25,NJ,
43.0036,-76.5863,2013,Human,1.7,NY,0.0
46.859778,-92.880011,1993,Human,8.0,MN,
29.09333333,-81.57,1992,Natural,19.0,FL,0.0
34.84880938,-88.86630796,1998,Human,50.0,MS,0.0
31.5784,-97.12646,2016,Human,0.1,TX,
18.129501,-65.824646,2003,Undetermined,0.25,PR,
30.86468,-89.359811,2010,Undetermined,2.0,MS,
33.7442,-84.1783,1993,Human,0.18,GA,0.0
43.3527,-115.9362,1995,Natural,3.0,ID,0.0
30.523214,-88.318466,2007,Human,0.5,AL,0.0
45.4166,-108.4173,1998,Human,0.5,MT,0.0
37.15111111,-122.08694444,2000,Human,1.0,CA,0.0
31.5553,-89.0781,2006,Human,3.0,MS,
46.84666667,-115.65166667,1995,Natural,0.1,ID,1.0
45.85705231,-92.46987276,1994,Human,0.5,WI,0.0
30.68333001,-85.68333002,2003,Human,0.3,FL,0.0
34.72505,-79.2858,2011,Human,7.0,NC,0.0
46.45143026,-94.374287,2001,Human,0.5,MN,
34.36548,-94.25689,2007,Human,3.0,AR,
29.52,-82.61,1996,Human,1.0,FL,
39.8375,-109.2014,2007,Natural,0.1,UT,0.0
40.275,-74.34583,1994,Human,15.0,NJ,
35.115,-112.30666667,1998,Natural,0.2,AZ,18.0
39.022863,-80.17183151,1999,Human,0.1,WV,0.0
36.35,-76.8667,2004,Human,0.7,NC,
37.70388888,-120.34194444,1996,Human,0.2,CA,
39.52502826,-78.7324672,1995,Human,0.5,WV,0.0
32.157642,-94.856208,2010,Human,0.5,TX,
37.32333333,-107.4875,1994,Natural,0.1,CO,0.0
